"ano_sem","Timestamp","Qual é a sua turma (dia/horario)?","exp_s_n","1.1) Qual seu sentimento com relação a programação?","sentimento","1.2) Qual sua experiência com programação?","1.3) Quais linguagens de programação você tem algum nível de conhecimento?","1.4) Você acredita que programação tem um papel relevante na análise de dados?","prog_dados","2) Como você avalia seu raciocínio logico?","logica","3) Qual seu sentimento com as disciplinas exatas, como matemática?","matematica","4) Como você avalia sua capacidade de analisar dados, por exemplo interpretar gráficos e dados publicados pela mídia?","ana_dados","5) Qual sua percepção sobre Inteligência Artificial (IA) e aprendizado de máquina (ML)","ia","6) Quanto a sua motivação em relação a esta disciplina assinale uma ou mais afirmações:","motivacao","1) Você tem alguma experiência com programação?","Ano","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [Python]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [R]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [VBA]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [Javascript]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [Java]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [C]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [PHP]","1.3) Quais linguagens de programação você tem algum nível de conhecimento? [Outras]","Qual das afirmações abaixo mais se aproxima da sua opinião? *","Como você avalia sua capacidade de analisar dados, por exemplo interpretar gráficos e dados publicados pela mídia?","Pensando na sua percepção sobre Inteligência Artificial (IA) e aprendizado de máquina (ML) em geral, qual das afirmações abaixo mais se aproxima da sua opinião?*","Considerando as frases abaixo, a respeito de motivações diversas para esta disciplina, qual das afirmações abaixo mais se aproxima do seu caso?","Carimbo de data/hora","Curso","Quanto a sua motivação em relação a esta disciplina, assinale uma ou mais afirmações","Quão experiente em programação você é?","A quantos anos você programa?","Quais linguagens de programação você possui algum nível de conhecimento?","Quão bom você avalia seu raciocínio lógico?","Qual o seu nível de facilidade com as disciplinas exatas, como matemática?","Quão bom você avalia seu raciocínio matemático?","Qual o seu nível de facilidade em analisar dados e gráficos divulgados pela mídia ?","Quanto você consegue abstrair?","Quanto você consegue seguir um algoritmo?","Quão relevante você acha conhecimentos de programação para a sociedade?","Quão relevante você acha conhecimentos de programação para o seu curso?","Quão relevante você acha conhecimentos de programação para a análise de dados?","Quão bem você pode usar ferramentas e técnicas computacionais necessárias para o desenvolvimento do seu curso?","Quão aplicável você acha que Inteligência Artificial (IA) e Machine Learning (ML) é para sociedade?","Quão relevante você acha conhecimentos de programação para evolução na sua profissão?","Como você avalia a aplicabilidade de tecnologia, em particular programação, data science e IA/ML na resolução de problemas reais da sua profissão?","Como você avalia sua capacidade de abstração, ou seja, habilidade de se concentrar nos aspectos essenciais de um contexto qualquer, ignorando características menos importantes.","Quão bom você avalia seu raciocínio estatítico?","Qual o seu nível de facilidade em analisar dados e gráficos (por exemplo, os divulgados pela mídia) ?","Como você avalia sua habilidade de analisar dados históricos em maior volume com o suporte de ferramentas tecnológicas?","Como você avalia sua habilidade de criar previsões/projeções de dados futuros com o suporte de ferramentas tecnológicas?","Você usualmente necessita de diagramas ou outros elementos visuais para entender raciocínio lógicos?","rac_logico","rac_matematico","dados_graficos","IA_ML","experiencia","logico","matematico","motivo"
"2020_2",2020-08-05 13:16:04,"Quarta - período da tarde - prof. Luiz","Sim","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","2","a) Fiz algum treinamento, construindo alguns códigos básicos","Outras","c) Sim, na maioria dos casos é inclusive mais fácil de utilizar de que ferramentas como Excel, uma vez que você adquire alguma fluência na linguagem","1","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Sim","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Sim",2,1,1
"2020_2",2020-08-05 13:16:06,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","b) Demanda muita concentração, mas deduzo conclusões",1,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b) Demanda muita concentração, mas deduzo conclusões","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não",1,3,2
"2020_2",2020-08-05 13:16:09,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","b) Demanda muita concentração, mas deduzo conclusões",1,"c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia",1.5,"b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples",0,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b) Demanda muita concentração, mas deduzo conclusões","c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia","b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",1,2,1
"2020_2",2020-08-05 13:16:16,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia",1.5,"b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples",0,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Não tenho interesse em aprender programar","Não tenho interesse em aprender programar","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia","b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não",2,2,-1
"2020_2",2020-08-05 13:16:26,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples",0,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",2,1,1
"2020_2",2020-08-05 13:16:35,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Não sei programar mas estou muito motivado a aprender, Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não sei programar mas estou muito motivado a aprender, Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não",2,1,2
"2020_2",2020-08-05 13:16:46,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia",1.5,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"c) Tem certa utilidade, mas apenas em contextos de negócio bem específicos",1,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","c) Tem certa utilidade, mas apenas em contextos de negócio bem específicos","Não",2,2,2
"2020_2",2020-08-05 13:17:00,"Quarta - período da tarde - prof. Luiz","Sim","b) Tenho certa dificuldade, mas me empenhado consigo bons resultados","-1","b) Tenho certa fluência em ao menos uma linguagem de programação","C","b) Talvez para casos mais complexos e específicos, no dia a dia profissional não creio que seja necessário","-1","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Sim","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Sim",2,3,2
"2020_2",2020-08-05 13:17:06,"Quarta - período da tarde - prof. Luiz","Sim","b) Tenho certa dificuldade, mas me empenhado consigo bons resultados","-1","a) Fiz algum treinamento, construindo alguns códigos básicos","Python, Outras","b) Talvez para casos mais complexos e específicos, no dia a dia profissional não creio que seja necessário","-1","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples",0,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Sim","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Sim",2,3,2
"2020_2",2020-08-05 13:17:15,"Quarta - período da tarde - prof. Luiz","Sim","b) Tenho certa dificuldade, mas me empenhado consigo bons resultados","-1","a) Fiz algum treinamento, construindo alguns códigos básicos","Java Script","d) São imprescindíveis, em particular quando se deseja processar maiores volumes de dados e realizar análises mais complexas","2","b) Demanda muita concentração, mas deduzo conclusões",1,"c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia",1.5,"b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples",0,"c) Tem certa utilidade, mas apenas em contextos de negócio bem específicos",1,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Sim","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b) Demanda muita concentração, mas deduzo conclusões","c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia","b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples","c) Tem certa utilidade, mas apenas em contextos de negócio bem específicos","Sim",1,2,2
"2020_2",2020-08-05 13:17:16,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",2,1,1
"2020_2",2020-08-05 13:17:34,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Não sei programar mas estou muito motivado a aprender, Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não sei programar mas estou muito motivado a aprender, Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não",2,3,2
"2020_2",2020-08-05 13:17:40,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","b) Demanda muita concentração, mas deduzo conclusões",1,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples",0,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b) Demanda muita concentração, mas deduzo conclusões","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","b) Consigo realizar análise dados em pequena quantidade ou em gráficos simples","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não",1,1,2
"2020_2",2020-08-05 13:17:42,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"c) Tem certa utilidade, mas apenas em contextos de negócio bem específicos",1,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","c) Tem certa utilidade, mas apenas em contextos de negócio bem específicos","Não",2,3,2
"2020_2",2020-08-05 13:17:53,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","b) Demanda muita concentração, mas deduzo conclusões",1,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"b) Demanda muita concentração, mas deduzo conclusões","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",1,1,1
"2020_2",2020-08-05 13:18:30,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia",1.5,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.",2,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","d) Imprescindível para a sociedade da informação que vivemos hoje, e pode ser utilizada por pessoas não técnica.","Não",2,2,2
"2020_2",2020-08-05 13:19:04,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados",1,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender, Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não sei programar mas estou muito motivado a aprender, Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","b) Tenho certa dificuldade, mas quando me empenhado consigo bons resultados","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",2,1,2
"2020_2",2020-08-05 13:19:52,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia",1.5,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","c) Tenho certa facilidade, mas não vejo grande uso no meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",2,2,1
"2020_2",2020-08-05 13:20:08,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Não sei programar mas estou muito motivado a aprender","Não sei programar mas estou muito motivado a aprender","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",2,3,1
"2020_2",2020-08-05 13:21:16,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","c) Tenho facilidade, mas não aplico muito no meu dia a dia",2,"a) Tenho pavor",0,"d) Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem",3,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c) Tenho facilidade, mas não aplico muito no meu dia a dia","a) Tenho pavor","d) Consigo fazer análises em grandes volumes de dados com uso de ferramentas de programação, mesmo que comandos simples da linguagem","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",2,0,2
"2020_2",2020-08-05 13:22:03,"Quarta - período da tarde - prof. Luiz","Não",NA,"#N/A",NA,NA,NA,"#N/A","d) Sou fluente, e aplico quase que diariamente na minha vida",3,"d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia",2,"c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel",2,"b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia",0,"Tenho curiosidade em aprender programar para aplicar na área de minha formação","Tenho curiosidade em aprender programar para aplicar na área de minha formação","Não","2020/2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d) Sou fluente, e aplico quase que diariamente na minha vida","d) Tenho facilidade e prazer, além de aplicar em situações de meu dia a dia","c) Tenho facilidade em construir meus próprios gráficos e análises em uma quantidade de dados que consiga manipular em uma ferramenta como Excel","b) Algo que pode ser útil nos dias de hoje, mas muito complexo, devendo ser utilizada por apenas profissionais de tecnologia","Não",3,3,2
